,gbifKey
1725,8121197
1726,8154730
1727,8234460
1728,8269930
1729,8351862
1730,8379941
1731,8394332
1732,8464426
1733,8520659
1734,8546633
1735,8739858
1736,8775085
1737,9318480
1738,9503236
1739,9745541
1740,11081122
1741,11119019
1742,11198973
1743,11255498
1744,2422
1745,4669
1746,2642899
1747,2647592
1748,2651123
1749,2689287
1750,2703273
1751,2705322
1752,2712419
1753,2715731
1754,2759864
1755,2762352
1756,2762353
1757,2762989
1758,2764815
1759,2784179
1760,2789363
1761,2791452
1762,2795372
1763,2797763
1764,2802126
1765,2802138
1766,2802908
1767,2806951
1768,2815130
1769,2815337
1770,2816400
1771,2816766
1772,2818194
1773,2836548
1774,2839007
1775,2845374
1776,2868714
1777,2869559
1778,2871798
1779,2871819
1780,2872987
1781,2878315
1782,2897072
1783,2909746
1784,2910432
1785,2926337
1786,2969352
1787,2975328
1788,3021387
1789,3073890
1790,3076220
1791,3083836
1792,3156384
1793,3230201
1794,3231080
1795,3234764
1796,3573426
1797,3589992
1798,3592099
1799,3605119
1800,3605249
1801,3606007
1802,3608927
1803,3619331
1804,3638895
1805,3643922
1806,3644675
1807,3660814
1808,3680321
1809,3699294
1810,3701318
1811,3720872
1812,3725353
1813,3727533
1814,3747524
1815,3751097
1816,3769759
1817,3791792
1818,3795863
1819,3824159
1820,3832489
1821,3848555
1822,3864993
1823,3866560
1824,3867756
1825,3925433
1826,3925893
1827,3932840
1828,3988183
1829,4024445
1830,4083081
1831,4143621
1832,4157877
1833,4167474
1834,4174114
1835,4178226
1836,4178760
1837,4181235
1838,4182910
1839,4258767
1840,4895271
1841,4928550
1842,5276551
1843,5286088
1844,5290382
1845,5294237
1846,5306220
1847,5319378
1848,5329829
1849,5350258
1850,5397478
1851,5408643
1852,5534738
1853,5535482
1854,5571117
1855,5572495
1856,5573046
1857,5577380
1858,5589655
1859,5591632
1860,5592746
1861,5600569
1862,5649808
1863,5650480
1864,5669185
1865,5675396
1866,5687467
1867,6109534
1868,6310278
1869,6320730
1870,7225376
1871,7317053
1872,7321532
1873,7326651
1874,7328475
1875,7329090
1876,7329712
1877,7331009
1878,7374654
1879,7436016
1880,7460928
1881,7492487
1882,7522667
1883,7551073
1884,7561518
1885,7605992
1886,7645755
1887,7665768
1888,7689106
1889,7689146
1890,7724588
1891,7739834
1892,7750255
1893,7769500
1894,7791161
1895,7825463
1896,7933540
1897,7940656
1898,7949908
1899,7973965
1900,8008211
1901,8083899
1902,8215993
1903,8220651
1904,8234186
1905,8353559
1906,8379384
1907,8388862
1908,8398334
1909,9524298
1910,10683048
1911,10734509
1912,407
1913,2650701
1914,2650931
1915,2650951
1916,2670343
1917,2674279
1918,2674693
1919,2676474
1920,2683869
1921,2733400
1922,2735434
1923,2747040
1924,2755459
1925,2757852
1926,2765630
1927,2785588
1928,2789417
1929,2798458
1930,2819301
1931,2825226
1932,2842021
1933,2842716
1934,2866482
1935,2870235
1936,2874142
1937,2877223
1938,2886468
1939,2886593
1940,2887996
1941,2889304
1942,2910424
1943,2919861
1944,2923835
1945,2942375
1946,2945830
1947,2953325
1948,2974696
1949,3033512
1950,3080800
1951,3081195
1952,3082904
1953,3120229
1954,3156411
1955,3158083
1956,3171892
1957,3180020
1958,3229378
1959,3572198
1960,3606429
1961,3750576
1962,3751517
1963,3777715
1964,3786310
1965,3786621
1966,3824102
1967,3830742
1968,3834086
1969,3847710
1970,3851390
1971,3857894
1972,3863094
1973,3864175
1974,4047724
1975,4073058
1976,4073265
1977,4081653
1978,4082747
1979,4099374
1980,4100570
1981,4115681
1982,4116304
1983,4123241
1984,4123568
1985,4142059
1986,4143321
1987,4156739
1988,4164824
1989,4171634
1990,4173230
1991,4180687
1992,4181233
1993,4183868
1994,4188486
1995,4256069
1996,4258356
1997,4261505
1998,4885493
1999,5275396
2000,5280485
2001,5306301
2002,5306333
2003,5315208
2004,5327200
2005,5340280
2006,5340913
2007,5348812
2008,5361905
2009,5361907
2010,5380478
2011,5397277
2012,5402967
2013,5418896
2014,5420991
2015,5532551
2016,5537453
2017,5547507
2018,5557123
2019,5564496
2020,5570944
2021,5571343
2022,5594789
2023,5599313
2024,5600932
2025,5608824
2026,5609950
2027,5614030
2028,5636034
2029,5647766
2030,5647952
2031,5657983
2032,5659254
2033,5706085
2034,5950166
2035,6026361
2036,6316221
2037,6365824
2038,7069550
2039,7265461
2040,7304168
2041,7306536
2042,7309493
2043,7324204
2044,7458903
2045,7474165
2046,7530957
2047,7588539
2048,7591349
2049,7646152
2050,7649938
2051,7747076
2052,7807715
2053,7812596
2054,7855681
2055,7879404
2056,7908504
2057,7929542
2058,7946118
2059,7981913
2060,8051281
2061,8208991
2062,8248593
2063,8256432
2064,8259477
2065,8421814
2066,8785152
2067,9092648
2068,11151361
2069,6709
2070,2651839
2071,2663610
2072,2680931
2073,2682970
2074,2708597
2075,2720668
2076,2732730
2077,2755195
2078,2788870
2079,2795187
2080,2811322
2081,2813788
2082,2818155
2083,2823221
2084,2843107
2085,2865953
2086,2869121
2087,2874204
2088,2886693
2089,2892428
2090,2896077
2091,2899979
2092,2900098
2093,2908318
2094,2918031
2095,2919399
2096,2924801
2097,2925161
2098,2941939
2099,2975672
2100,2978612
2101,2979658
2102,2985983
2103,3035646
2104,3036320
2105,3072680
2106,3075773
2107,3080198
2108,3108155
2109,3132570
2110,3158360
2111,3169160
2112,3183027
2113,3190595
2114,3591482
2115,3599731
2116,3605436
2117,3606680
2118,3607002
2119,3621057
2120,3627955
2121,3643379
2122,3644483
2123,3653366
2124,3660173
2125,3661395
2126,3670391
2127,3679363
2128,3719982
2129,3730484
2130,3751151
2131,3751694
2132,3789936
2133,3823458
2134,3869026
2135,4024546
2136,4042720
