;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;synonym;class;species;speciesKey;note
1169;3766604;7262725.0;Covellia subopposita Miq.;Covellia subopposita;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Rosales;Moraceae;Ficus;6;7707728.0;220.0;691.0;6640.0;2984588.0;True;Magnoliopsida;Ficus fistulosa;7262725.0;
1170;8252683;;Crataegus laevigata (Poir.) DC.;Crataegus laevigata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Rosaceae;Crataegus;6;7707728.0;220.0;691.0;5015.0;3013395.0;False;Magnoliopsida;Crataegus laevigata;8252683.0;
1171;9220780;;Crataegus monogyna Jacq.;Crataegus monogyna;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Rosales;Rosaceae;Crataegus;6;7707728.0;220.0;691.0;5015.0;3013395.0;False;Magnoliopsida;Crataegus monogyna;9220780.0;
1172;3871487;;Crateva magna (Lour.) DC.;Crateva magna;SPECIES;ACCEPTED;89;FUZZY;Plantae;Tracheophyta;Brassicales;Capparaceae;Crateva;6;7707728.0;220.0;7225535.0;3111.0;3054261.0;False;Magnoliopsida;Crateva magna;3871487.0;
1173;7330035;;Cratoxylum arborescens (Vahl) Blume;Cratoxylum arborescens;SPECIES;ACCEPTED;81;FUZZY;Plantae;Tracheophyta;Malpighiales;Hypericaceae;Cratoxylum;6;7707728.0;220.0;1414.0;4900406.0;7330000.0;False;Magnoliopsida;Cratoxylum arborescens;7330035.0;
1174;3712080;8126976.0;Cratoxylum celebicum Blume;Cratoxylum celebicum;SPECIES;SYNONYM;80;FUZZY;Plantae;Tracheophyta;Malpighiales;Hypericaceae;Cratoxylum;6;7707728.0;220.0;1414.0;4900406.0;7330000.0;True;Magnoliopsida;Cratoxylum sumatranum;3711894.0;
1175;3712130;7330000.0;Cratoxylon C.L.von Blume, 1825;Cratoxylon;GENUS;SYNONYM;96;HIGHERRANK;Plantae;Tracheophyta;Malpighiales;Hypericaceae;Cratoxylum;6;7707728.0;220.0;1414.0;4900406.0;7330000.0;True;Magnoliopsida;;;
1176;3712070;8126976.0;Cratoxylum clandestinum Blume;Cratoxylum clandestinum;SPECIES;SYNONYM;80;FUZZY;Plantae;Tracheophyta;Malpighiales;Hypericaceae;Cratoxylum;6;7707728.0;220.0;1414.0;4900406.0;7330000.0;True;Magnoliopsida;Cratoxylum sumatranum;3711894.0;
1177;3712060;7330035.0;Cratoxylum cuneatum Miq.;Cratoxylum cuneatum;SPECIES;SYNONYM;80;FUZZY;Plantae;Tracheophyta;Malpighiales;Hypericaceae;Cratoxylum;6;7707728.0;220.0;1414.0;4900406.0;7330000.0;True;Magnoliopsida;Cratoxylum arborescens;7330035.0;
1178;3712034;;Cratoxylum glaucum Korth.;Cratoxylum glaucum;SPECIES;ACCEPTED;81;FUZZY;Plantae;Tracheophyta;Malpighiales;Hypericaceae;Cratoxylum;6;7707728.0;220.0;1414.0;4900406.0;7330000.0;False;Magnoliopsida;Cratoxylum glaucum;3712034.0;
1179;3711995;3712064.0;Cratoxylum ligustrinum (Spach) Blume;Cratoxylum ligustrinum;SPECIES;SYNONYM;80;FUZZY;Plantae;Tracheophyta;Malpighiales;Hypericaceae;Cratoxylum;6;7707728.0;220.0;1414.0;4900406.0;7330000.0;True;Magnoliopsida;Cratoxylum cochinchinense;3712064.0;
