;FNFNUM;TAXON;TAXAUTHOR;GENUS;SPECIES;SUBSPECIES;VARIETY;FORMA;CULTIVAR;SPAUT;SPSAUT;SPVAUT;SPFAUT;CULTAUT;FAMILY;SPCMT;PLCO;TAXNO;VALIDTAXNO;GRINVERIFY;USEAGE;USERID;CREATED;MODIFIED
668;1532;Diospyros maritima;;Diospyros;maritima;;;;;;;;;;Ebenaceae;;;14300.0;14300.0;;M;DUKE;10-DEC-97;15-JUL-05
669;1179;Diospyros melanoxylon;ROXB.;Diospyros;melanoxylon;;;;;ROXB.;;;;;Ebenaceae;;;403647.0;403647.0;;M;DUKE;10-DEC-97;15-JUL-05
671;1534;Diospyros mollis;;Diospyros;mollis;;;;;;;;;;Ebenaceae;;;70232.0;70232.0;;M;DUKE;10-DEC-97;15-JUL-05
673;1536;Diospyros montana;;Diospyros;montana;;;;;;;;;;Ebenaceae;;;14304.0;14304.0;;M;DUKE;10-DEC-97;15-JUL-05
674;1537;Diospyros moonii;;Diospyros;moonii;;;;;;;;;;Ebenaceae;;;14306.0;14306.0;;M;DUKE;10-DEC-97;15-JUL-05
682;1542;Diospyros siamang;;Diospyros;siamang;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
683;1543;Diospyros siamensis;;Diospyros;siamensis;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
685;1545;Diospyros singaporensis;;Diospyros;singaporensis;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
687;1547;Diospyros sumatrana;;Diospyros;sumatrana;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
688;1548;Diospyros sylvatica;;Diospyros;sylvatica;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
690;1182;Diospyros tomentosa;POIR.;Diospyros;tomentosa;;;;;POIR.;;;;;Ebenaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
691;1550;Diospyros undulata;;Diospyros;undulata;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
694;1552;Diospyros walkeri;;Diospyros;walkeri;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
695;1553;Diospyros wallichii;;Diospyros;wallichii;;;;;;;;;;Ebenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
698;1172;Dipterocarpus hispidus;THW.;Dipterocarpus;hispidus;;;;;THW.;;;;;Dipterocarpaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
701;369;Dipteryx odorata;(AUBL.) WILLD.;Dipteryx;odorata;;;;;(AUBL.) WILLD.;;;;;Fabaceae;Synonyms: Coumarouna odorata Aubl;283409001.0;14393.0;14393.0;;M;DUKE;10-DEC-97;15-JUL-05
703;370;Dodonaea viscosa;(L.) JACQ.;Dodonaea;viscosa;;;;;(L.) JACQ.;;;;;Sapindaceae;;361109001.0;14441.0;14441.0;;M;DUKE;10-DEC-97;15-JUL-05
704;1876;Dolichos biflorus;;Dolichos;biflorus;;;;;;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
709;372;Drynaria fortunei;(KUNZE) J. SMITH;Drynaria;fortunei;;;;;(KUNZE) J. SMITH;;;;;Polypodiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
710;373;Dryopteris filix-mas;(L.) SCHOTT;Dryopteris;filix-mas;;;;;(L.) SCHOTT;;;;;Dryopteridaceae;;;14724.0;14724.0;;M;DUKE;10-DEC-97;15-JUL-05
713;1877;Dunbaria villosa;(THUNB.) MAKINO;Dunbaria;villosa;;;;;(THUNB.) MAKINO;;;;;Fabaceae;;;14747.0;14747.0;;M;DUKE;10-DEC-97;15-JUL-05
714;375;Duranta repens;L.;Duranta;repens;;;;;L.;;;;;Verbenaceae;;533030001.0;;;;M;DUKE;10-DEC-97;15-JUL-05
715;1224;Durio zibethinus;L.;Durio;zibethinus;;;;;L.;;;;;Bombacaceae;;;14755.0;14755.0;;;DUKE;10-DEC-97;15-JUL-05
716;2125;Echinacea angustifolia;DC.;Echinacea;angustifolia;;;;;DC.;;;;;Asteraceae;;;14798.0;14798.0;;M;DUKE;10-DEC-97;15-JUL-05
717;2126;Echinacea pallida;(NUTT.) NUTT.;Echinacea;pallida;;;;;(NUTT.) NUTT.;;;;;Asteraceae;;;70237.0;70237.0;;M;DUKE;10-DEC-97;15-JUL-05
718;2127;Echinacea purpurea;(L.) MOENCH.;Echinacea;purpurea;;;;;(L.) MOENCH.;;;;;Asteraceae;;;14799.0;14799.0;;M;DUKE;10-DEC-97;15-JUL-05
723;1559;Ehretia laevis;;Ehretia;laevis;;;;;;;;;;Boraginaceae;;;14897.0;14897.0;;M;DUKE;10-DEC-97;15-JUL-05
725;1150;Elaeagnus angustifolia;L.;Elaeagnus;angustifolia;;;;;L.;;;;;Elaeagnaceae;;;14915.0;14915.0;;F;DUKE;10-DEC-97;15-JUL-05
729;1267;Elaeis guineensis;JACQ.;Elaeis;guineensis;;;;;JACQ.;;;;;Arecaceae;;;14936.0;14936.0;;;DUKE;10-DEC-97;15-JUL-05
731;1308;Eleocharis dulcis;(BURM. F) TRIN.;Eleocharis;dulcis;;;;;(BURM. F) TRIN.;;;;;Cyperaceae;;;14976.0;14976.0;;;DUKE;10-DEC-97;15-JUL-05
732;377;Elettaria cardamomum;(L.) MATON;Elettaria;cardamomum;;;;;(L.) MATON;;;;;Zingiberaceae;Synonyms: Amomum cardamomum L.;96016001.0;300197.0;300197.0;;F;DUKE;10-DEC-97;15-JUL-05
733;378;Eleutherococcus senticosus;(RUPR. & MAXIM.) MAXIM.;Eleutherococcus;senticosus;;;;;(RUPR. & MAXIM.) MAXIM.;;;;;Araliaceae;Synonyms: Acanthopanax senticosus, Hedera senticosa;;15004.0;15004.0;;M;DUKE;10-DEC-97;15-JUL-05
734;1361;Elsholtzia blanda;BENTH.;Elsholtzia;blanda;;;;;BENTH.;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
737;1997;Elsholtzia densa;;Elsholtzia;densa;;;;;;;;;;Lamiaceae;;;15015.0;15015.0;;M;DUKE;10-DEC-97;15-JUL-05
745;1362;Emilia flammea;;Emilia;flammea;;;;;;;;;;Asteraceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
746;1737;Enterolobium cyclocarpum;;Enterolobium;cyclocarpum;;;;;;;;;;Fabaceae;;;15195.0;15195.0;;M;DUKE;10-DEC-97;15-JUL-05
747;1363;Eperua falcata;;Eperua;falcata;;;;;;;;;;Fabaceae;;;436165.0;436165.0;;;DUKE;10-DEC-97;15-JUL-05
751;382;Ephedra sinica;STAPF;Ephedra;sinica;;;;;STAPF;;;;;Ephedraceae;;15001002.0;15236.0;15236.0;;M;DUKE;10-DEC-97;15-JUL-05
754;384;Equisetum arvense;L.;Equisetum;arvense;;;;;L.;;;;;Equisetaceae;;1001.0;400386.0;400386.0;;M;DUKE;10-DEC-97;15-JUL-05
755;385;Equisetum hyemale;L.;Equisetum;hyemale;;;;;L.;;;;;Equisetaceae;;;400387.0;400387.0;;M;DUKE;10-DEC-97;15-JUL-05
758;386;Eriobotrya japonica;(THUNB.) LINDL.;Eriobotrya;japonica;;;;;(THUNB.) LINDL.;;;;;Rosaceae;;274025001.0;15602.0;15602.0;;F;DUKE;10-DEC-97;15-JUL-05
763;1882;Eriosema psoraleoides;(LAM.) G. DON;Eriosema;psoraleoides;;;;;(LAM.) G. DON;;;;;Fabaceae;;;15649.0;15649.0;;M;DUKE;10-DEC-97;15-JUL-05
766;390;Eryngium foetidum;L.;Eryngium;foetidum;;;;;L.;;;;;Apiaceae;;;15716.0;15716.0;;G;DUKE;10-DEC-97;15-JUL-05
768;392;Erythrina crista-galli;L.;Erythrina;crista-galli;;;;;L.;;;;;Fabaceae;;;15739.0;15739.0;;M;DUKE;10-DEC-97;15-JUL-05
769;393;Erythrina fusca;LOUR.;Erythrina;fusca;;;;;LOUR.;;;;;Fabaceae;;282436005.0;15744.0;15744.0;;M;DUKE;10-DEC-97;15-JUL-05
770;1411;Erythrina senegalensis;;Erythrina;senegalensis;;;;;;;;;;Fabaceae;;;15765.0;15765.0;;;DUKE;10-DEC-97;15-JUL-05
772;394;Erythrophleum suaveolens;(GUILL. & PERROT.) BRENAN;Erythrophleum;suaveolens;;;;;(GUILL. & PERROT.) BRENAN;;;;;Fabaceae;;;100131.0;100131.0;;M;DUKE;10-DEC-97;15-JUL-05
773;1739;Erythrospermum zeylanicum;;Erythrospermum;zeylanicum;;;;;;;;;;Flacourtiaceae;;;100599.0;100599.0;;M;DUKE;10-DEC-97;15-JUL-05
775;1103;Erythroxylum areolatum;;Erythroxylum;areolatum;;;;;;;;;;Erythroxylaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
786;1112;Erythroxylum ellipticum;;Erythroxylum;ellipticum;;;;;;;;;;Erythroxylaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
794;1120;Erythroxylum lucidum;;Erythroxylum;lucidum;;;;;;;;;;Erythroxylaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
796;1122;Erythroxylum macrophyllum;;Erythroxylum;macrophyllum;;;;;;;;;;Erythroxylaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
798;1124;Erythroxylum monogynum;ROXB.;Erythroxylum;monogynum;;;;;ROXB.;;;;;Erythroxylaceae;;;414291.0;414291.0;;;DUKE;10-DEC-97;15-JUL-05
799;1125;Erythroxylum montanum;;Erythroxylum;montanum;;;;;;;;;;Erythroxylaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
803;1127;Erythroxylum ovatum;;Erythroxylum;ovatum;;;;;;;;;;Erythroxylaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
808;1132;Erythroxylum retusum;;Erythroxylum;retusum;;;;;;;;;;Erythroxylaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
818;2134;Eucalyptus angulosa;SCHAU;Eucalyptus;angulosa;;;;;SCHAU;;;;;Myrtaceae;;;15844.0;15844.0;;M;DUKE;10-DEC-97;15-JUL-05
823;1369;Eucalyptus botryoides;SM.;Eucalyptus;botryoides;;;;;SM.;;;;;Myrtaceae;;;15857.0;15857.0;;;DUKE;10-DEC-97;15-JUL-05
824;1370;Eucalyptus brassiana;S.T. BLAKE;Eucalyptus;brassiana;;;;;S.T. BLAKE;;;;;Myrtaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
829;400;Eucalyptus citriodora;HOOK.;Eucalyptus;citriodora;;;;;HOOK.;;;;;Myrtaceae;Synonym for Corymbia citriodora;;;;;G;DUKE;10-DEC-97;15-JUL-05
830;1373;Eucalyptus cladocalyx;F.MUELL.;Eucalyptus;cladocalyx;;;;;F.MUELL.;;;;;Myrtaceae;;;15530.0;15530.0;;;DUKE;10-DEC-97;15-JUL-05
832;2139;Eucalyptus corynocalyx;;Eucalyptus;corynocalyx;;;;;;;;;;Myrtaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
842;401;Eucalyptus globulus;LABILL.;Eucalyptus;globulus;;;;;LABILL.;;;;;Myrtaceae;;;15919.0;15919.0;;G;DUKE;10-DEC-97;15-JUL-05
843;2144;Eucalyptus grandis;W. HILL EX MAIDEN;Eucalyptus;grandis;;;;;W. HILL EX MAIDEN;;;;;Myrtaceae;;;15924.0;15924.0;;M;DUKE;10-DEC-97;15-JUL-05
844;2145;Eucalyptus hemiphloia;F. MUELL. EX BENTH.;Eucalyptus;hemiphloia;;;;;F. MUELL. EX BENTH.;;;;;Myrtaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
851;1376;Eucalyptus maculata;HOOK.;Eucalyptus;maculata;;;;;HOOK.;;;;;Myrtaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
855;1379;Eucalyptus moluccana;ROXB.;Eucalyptus;moluccana;;;;;ROXB.;;;;;Myrtaceae;;;401170.0;401170.0;;M;DUKE;10-DEC-97;15-JUL-05
865;2148;Eucalyptus punctata;DC.;Eucalyptus;punctata;;;;;DC.;;;;;Myrtaceae;;;16003.0;16003.0;;M;DUKE;10-DEC-97;15-JUL-05
866;2149;Eucalyptus robusta;SMITH;Eucalyptus;robusta;;;;;SMITH;;;;;Myrtaceae;;;16015.0;16015.0;;M;DUKE;10-DEC-97;15-JUL-05
868;1385;Eucalyptus saligna;SM.;Eucalyptus;saligna;;;;;SM.;;;;;Myrtaceae;;;16022.0;16022.0;;M;DUKE;10-DEC-97;15-JUL-05
874;1388;Eucalyptus tereticornis;SM.;Eucalyptus;tereticornis;;;;;SM.;;;;;Myrtaceae;;;16042.0;16042.0;;M;DUKE;10-DEC-97;15-JUL-05
876;2154;Eucalyptus viminalis;LABILL.;Eucalyptus;viminalis;;;;;LABILL.;;;;;Myrtaceae;;;16104.0;16104.0;;M;DUKE;10-DEC-97;15-JUL-05
882;402;Eucommia ulmoides;OLIV.;Eucommia;ulmoides;;;;;OLIV.;;;;;Eucommiaceae;;;16126.0;16126.0;;M;DUKE;10-DEC-97;15-JUL-05
884;1242;Eugenia floribunda;;Eugenia;floribunda;;;;;;;;;;Myrtaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
886;1198;Eugenia jambolana;LAM.;Eugenia;jambolana;;;;;LAM.;;;;;Myrtaceae;;;;;;F;DUKE;10-DEC-97;15-JUL-05
887;1226;Eugenia uniflora;L.;Eugenia;uniflora;;;;;L.;;;;;Myrtaceae;;;16210.0;16210.0;;;DUKE;10-DEC-97;15-JUL-05
890;404;Euonymus atropurpureus;JACQ.;Euonymus;atropurpureus;;;;;JACQ.;;;;;Celastraceae;;;16251.0;16251.0;;M;DUKE;10-DEC-97;15-JUL-05
892;1279;Eupatorium odoratum;L.;Eupatorium;odoratum;;;;;L.;;;;;Asteraceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
894;1286;Eupatorium triplinerve;VAHL;Eupatorium;triplinerve;;;;;VAHL;;;;;Asteraceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
896;1565;Euphorbia hermentiana;;Euphorbia;hermentiana;;;;;;;;;;Euphorbiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
897;406;Euphorbia hirta;L.;Euphorbia;hirta;;;;;L.;;;;;Euphorbiaceae;;328213009.0;;;;M;DUKE;10-DEC-97;15-JUL-05
900;408;Euphorbia pulcherrima;WILLD.;Euphorbia;pulcherrima;;;;;WILLD.;;;;;Euphorbiaceae;;328213017.0;16403.0;16403.0;;M;DUKE;10-DEC-97;15-JUL-05
901;409;Euphorbia tirucalli;L.;Euphorbia;tirucalli;;;;;L.;;;;;Euphorbiaceae;;328213022.0;400211.0;400211.0;;M;DUKE;10-DEC-97;15-JUL-05
904;1430;Eurya acuminata;DC;Eurya;acuminata;;;;;DC;;;;;Theaceae;;;16434.0;16434.0;;M;DUKE;10-DEC-97;15-JUL-05
905;1742;Eurya japonica;;Eurya;japonica;;;;;;;;;;Theaceae;;;16440.0;16440.0;;M;DUKE;10-DEC-97;15-JUL-05
908;411;Fagopyrum esculentum;MOENCH.;Fagopyrum;esculentum;;;;;MOENCH.;;;;;Polygonaceae;;149019001.0;16528.0;16528.0;;F;DUKE;10-DEC-97;15-JUL-05
916;417;Ficus carica;L.;Ficus;carica;;;;;L.;;;;;Moraceae;;;16801.0;16801.0;;F;DUKE;10-DEC-97;15-JUL-05
919;419;Firmiana simplex;(L.) W. F. WIGHT;Firmiana;simplex;;;;;(L.) W. F. WIGHT;;;;;Sterculiaceae;;380043001.0;102001.0;102001.0;;M;DUKE;10-DEC-97;15-JUL-05
920;1884;Flemingia strobilifera;(L.) AIT. & AIT. F.;Flemingia;strobilifera;;;;;(L.) AIT. & AIT. F.;;;;;Fabaceae;;;17131.0;17131.0;;M;DUKE;10-DEC-97;15-JUL-05
921;1569;Flindersia pimenteliana;;Flindersia;pimenteliana;;;;;;;;;;Rutaceae;;;411857.0;411857.0;;M;DUKE;10-DEC-97;15-JUL-05
922;420;Foeniculum vulgare;MILLER;Foeniculum;vulgare;;;;;MILLER;;;;;Apiaceae;;;300219.0;300219.0;;F;DUKE;10-DEC-97;15-JUL-05
938;2161;Ganoderma lucidum;;Ganoderma;lucidum;;;;;;;;;;;;;;;;M;DUKE;10-DEC-97;15-JUL-05
939;2123;Garcinia cambogia;(GAERTN.) DESR.;Garcinia;cambogia;;;;;(GAERTN.) DESR.;;;;;Clusiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
940;430;Garcinia hanburyi;HOOK. f.;Garcinia;hanburyi;;;;;HOOK. f.;;;;;Clusiaceae;;;311274.0;311274.0;;M;DUKE;10-DEC-97;15-JUL-05
941;1228;Garcinia mangostana;L.;Garcinia;mangostana;;;;;L.;;;;;Clusiaceae;;;71011.0;71011.0;;;DUKE;10-DEC-97;15-JUL-05
942;1571;Garcinia xanthochymus;;Garcinia;xanthochymus;;;;;;;;;;Clusiaceae;;;70312.0;70312.0;;M;DUKE;10-DEC-97;15-JUL-05
943;431;Gardenia jasminoides;J. ELLIS;Gardenia;jasminoides;;;;;J. ELLIS;;;;;Rubiaceae;Syns: G. augusta, G. florida, G. radaicans, Warneria augusta;;70315.0;70315.0;;M;DUKE;10-DEC-97;15-JUL-05
945;1099;Gaultheria fragrantissima;WALL.;Gaultheria;fragrantissima;;;;;WALL.;;;;;Ericaceae;;;347.0;347.0;;M;DUKE;10-DEC-97;15-JUL-05
950;435;Genipa americana;L.;Genipa;americana;;;;;L.;;;;;Rubiaceae;;562171001.0;395.0;395.0;;F;DUKE;10-DEC-97;15-JUL-05
961;438;Gentiana lutea;L.;Gentiana;lutea;;;;;L.;;;;;Gentianaceae;;511031001.0;17392.0;17392.0;;G;DUKE;10-DEC-97;15-JUL-05
962;439;Gentiana scabra;BUNGE;Gentiana;scabra;;;;;BUNGE;;;;;Gentianaceae;;;17415.0;17415.0;;M;DUKE;10-DEC-97;15-JUL-05
970;447;Gliricidia sepium;STEUD.;Gliricidia;sepium;;;;;STEUD.;;;;;Fabaceae;;;17647.0;17647.0;;M;DUKE;10-DEC-97;15-JUL-05
971;448;Gloriosa superba;L.;Gloriosa;superba;;;;;L.;;;;;Liliaceae;;;17663.0;17663.0;;M;DUKE;10-DEC-97;15-JUL-05
972;449;Glycine max;(L.) MERR.;Glycine;max;;;;;(L.) MERR.;;;;;Fabaceae;;283430002.0;17711.0;17711.0;;F;DUKE;10-DEC-97;15-JUL-05
973;1894;Glycine wightii;(WIGHT. & ARN.) VERDC.;Glycine;wightii;;;;;(WIGHT. & ARN.) VERDC.;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
974;450;Glycyrrhiza glabra;L.;Glycyrrhiza;glabra;;;;;L.;;;;;Fabaceae;;283335001.0;17820.0;17820.0;;G;DUKE;10-DEC-97;15-JUL-05
976;451;Glycyrrhiza uralensis;FISCH. EX DC.;Glycyrrhiza;uralensis;;;;;FISCH. EX DC.;;;;;Fabaceae;;;17824.0;17824.0;;G;DUKE;10-DEC-97;15-JUL-05
977;1574;Gmelina arborea;;Gmelina;arborea;;;;;;;;;;Lamiaceae;;;17827.0;17827.0;;M;DUKE;10-DEC-97;15-JUL-05
983;1576;Grewia bicolor;;Grewia;bicolor;;;;;;;;;;Tiliaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
992;1580;Guazuma tomentosa;;Guazuma;tomentosa;;;;;;;;;;Sterculiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
993;456;Guazuma ulmifolia;LAM.;Guazuma;ulmifolia;;;;;LAM.;;;;;Sterculiaceae;;;312760.0;312760.0;;M;DUKE;10-DEC-97;15-JUL-05
997;1310;Haematoxylum campechianum;L.;Haematoxylum;campechianum;;;;;L.;;;;;Fabaceae;;;18172.0;18172.0;;;DUKE;10-DEC-97;15-JUL-05
998;457;Hamamelis virginiana;L.;Hamamelis;virginiana;;;;;L.;;;;;Hamamelidaceae;;;311636.0;311636.0;;M;DUKE;10-DEC-97;15-JUL-05
999;458;Hamelia patens;JACQ.;Hamelia;patens;;;;;JACQ.;;;;;Rubiaceae;;562210001.0;18240.0;18240.0;;M;DUKE;10-DEC-97;15-JUL-05
1002;459;Harpagophytum procumbens;(BURCH.) DC. EX MEISN.;Harpagophytum;procumbens;;;;;(BURCH.) DC. EX MEISN.;;;;;Pedaliaceae;;;18252.0;18252.0;;M;DUKE;10-DEC-97;15-JUL-05
1007;464;Hedera helix;L.;Hedera;helix;;;;;L.;;;;;Araliaceae;;;300252.0;300252.0;;M;DUKE;10-DEC-97;15-JUL-05
1009;465;Heimia salicifolia;L.;Heimia;salicifolia;;;;;L.;;;;;Lythraceae;;;27904.0;27904.0;;M;DUKE;10-DEC-97;15-JUL-05
1010;466;Helianthus annuus;L.;Helianthus;annuus;;;;;L.;;;;;Asteraceae;;;27923.0;27923.0;;F;DUKE;10-DEC-97;15-JUL-05
1011;467;Helianthus tuberosus;L.;Helianthus;tuberosus;;;;;L.;;;;;Asteraceae;;580471003.0;27946.0;27946.0;;F;DUKE;10-DEC-97;15-JUL-05
1017;472;Hemidesmus indicus;(L.) R. BR.;Hemidesmus;indicus;;;;;(L.) R. BR.;;;;;Asclepiadaceae;;;402594.0;402594.0;;M;DUKE;10-DEC-97;15-JUL-05
1021;1752;Hibiscus mutabilis;;Hibiscus;mutabilis;;;;;;;;;;Malvaceae;;;19059.0;19059.0;;M;DUKE;10-DEC-97;15-JUL-05
1022;1311;Hibiscus rosa-sinensis;L.;Hibiscus;rosa-sinensis;;;;;L.;;;;;Malvaceae;;;19075.0;19075.0;;;DUKE;10-DEC-97;15-JUL-05
1023;474;Hibiscus sabdariffa;L.;Hibiscus;sabdariffa;;;;;L.;;;;;Malvaceae;;375034002.0;19078.0;19078.0;;F;DUKE;10-DEC-97;15-JUL-05
1024;1585;Hibiscus syriacus;L.;Hibiscus;syriacus;;;;;L.;;;;;Malvaceae;;;19094.0;19094.0;;M;DUKE;10-DEC-97;15-JUL-05
1025;1312;Hippeastrum vittatum;HERB;Hippeastrum;vittatum;;;;;HERB;;;;;Liliaceae;;;19160.0;19160.0;;;DUKE;10-DEC-97;15-JUL-05
1030;476;Holarrhena pubescens;WALL. EX G. DON;Holarrhena;pubescens;;;;;WALL. EX G. DON;;;;;Apocynaceae;Syns: H.antidysenterica,H. febrifuga,Echites antidysenterica;;102211.0;102211.0;;M;DUKE;10-DEC-97;15-JUL-05
1033;1589;Hopea jucunda;;Hopea;jucunda;;;;;;;;;;Dipterocarpaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1034;477;Hordeum vulgare;L.;Hordeum;vulgare;;;;;L.;;;;;Poaceae;;38310002.0;317403.0;317403.0;;F;DUKE;10-DEC-97;15-JUL-05
1036;479;Houttuynia cordata;THUNB.;Houttuynia;cordata;;;;;THUNB.;;;;;Saururaceae;;107002001.0;102694.0;102694.0;;F;DUKE;10-DEC-97;15-JUL-05
1037;480;Humulus lupulus;L.;Humulus;lupulus;;;;;L.;;;;;Cannabaceae;;126065001.0;19415.0;19415.0;;F;DUKE;10-DEC-97;15-JUL-05
1039;482;Hura crepitans;L.;Hura;crepitans;;;;;L.;;;;;Euphorbiaceae;;;19419.0;19419.0;;M;DUKE;10-DEC-97;15-JUL-05
1043;485;Hydnocarpus kurzii;(KING) WARB.;Hydnocarpus;kurzii;;;;;(KING) WARB.;;;;;Flacourtiaceae;;417016002.0;19441.0;19441.0;;M;DUKE;10-DEC-97;15-JUL-05
1050;1230;Hylocereus undatus;BRITT. & ROSE;Hylocereus;undatus;;;;;BRITT. & ROSE;;;;;Cactaceae;Cereus undatus Haw. is a synonym;;19487.0;19487.0;;;DUKE;10-DEC-97;15-JUL-05
1051;1392;Hymenaea courbaril;;Hymenaea;courbaril;;;;;;;;;;Fabaceae;;;19489.0;19489.0;;;DUKE;10-DEC-97;15-JUL-05
1052;1393;Hymenaea verrucosa;;Hymenaea;verrucosa;;;;;;;;;;Fabaceae;;;19491.0;19491.0;;;DUKE;10-DEC-97;15-JUL-05
1057;491;Hypericum perforatum;L.;Hypericum;perforatum;;;;;L.;;;;;Clusiaceae;;;19600.0;19600.0;;M;DUKE;10-DEC-97;15-JUL-05
1061;494;Hyptis suaveolens;POIT.;Hyptis;suaveolens;;;;;POIT.;;;;;Lamiaceae;;538133005.0;19643.0;19643.0;;M;DUKE;10-DEC-97;15-JUL-05
1065;495;Hyssopus officinalis;L.;Hyssopus;officinalis;;;;;L.;;;;;Lamiaceae;;538104001.0;19644.0;19644.0;;G;DUKE;10-DEC-97;15-JUL-05
1068;496;Ilex paraguariensis;ST. HIL.;Ilex;paraguariensis;;;;;ST. HIL.;;;;;Aquifoliaceae;;347001001.0;19756.0;19756.0;;F;DUKE;10-DEC-97;15-JUL-05
1070;497;Illicium verum;HOOK. f.;Illicium;verum;;;;;HOOK. f.;;;;;Illiciaceae;;197007001.0;19801.0;19801.0;;F;DUKE;10-DEC-97;15-JUL-05
1071;1395;Impatiens balsamina;L.;Impatiens;balsamina;;;;;L.;;;;;Balsaminaceae;;;19810.0;19810.0;;;DUKE;10-DEC-97;15-JUL-05
1072;498;Indigofera tinctoria;L.;Indigofera;tinctoria;;;;;L.;;;;;Fabaceae;;;20064.0;20064.0;;M;DUKE;10-DEC-97;15-JUL-05
1073;1231;Inga edulis;;Inga;edulis;;;;;;;;;;Fabaceae;;;20082.0;20082.0;;;DUKE;10-DEC-97;15-JUL-05
1076;1396;Inocarpus edulis;FORST.;Inocarpus;edulis;;;;;FORST.;;;;;Fabaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
1078;500;Ipomoea aquatica;FORSSKAL;Ipomoea;aquatica;;;;;FORSSKAL;;;;;Convolvulaceae;;520036001.0;20138.0;20138.0;;F;DUKE;10-DEC-97;15-JUL-05
1079;501;Ipomoea batatas;(L.) LAM;Ipomoea;batatas;;;;;(L.) LAM;;;;;Convolvulaceae;;;20142.0;20142.0;;F;DUKE;10-DEC-97;15-JUL-05
1081;503;Ipomoea violacea;L.;Ipomoea;violacea;;;;;L.;;;;;Convolvulaceae;;;20238.0;20238.0;;M;DUKE;10-DEC-97;15-JUL-05
1090;1761;Jasminum sambac;;Jasminum;sambac;;;;;;;;;;Oleaceae;;;20676.0;20676.0;;M;DUKE;10-DEC-97;15-JUL-05
1092;510;Jatropha curcas;MIERS;Jatropha;curcas;;;;;MIERS;;;;;Euphorbiaceae;;;20692.0;20692.0;;M;DUKE;10-DEC-97;15-JUL-05
1098;515;Juncus effusus;L.;Juncus;effusus;;;;;L.;;;;;Juncaceae;;63007003.0;20791.0;20791.0;;M;DUKE;10-DEC-97;15-JUL-05
1104;519;Juniperus virginiana;L.;Juniperus;virginiana;;;;;L.;;;;;Cupressaceae;;;20878.0;20878.0;;M;DUKE;10-DEC-97;15-JUL-05
1105;520;Jussiaea repens;L.;Jussiaea;repens;;;;;L.;;;;;Onagraceae;;456039006.0;;;;M;DUKE;10-DEC-97;15-JUL-05
1106;1762;Jussiaea suffruticosa;;Jussiaea;suffruticosa;;;;;;;;;;Onagraceae;;;20894.0;20894.0;;M;DUKE;10-DEC-97;15-JUL-05
1107;521;Justicia adhatoda;L.;Justicia;adhatoda;;;;;L.;;;;;Acanthaceae;;555143002.0;20895.0;20895.0;;M;DUKE;10-DEC-97;15-JUL-05
1108;522;Justicia gendarussa;BURM.;Justicia;gendarussa;;;;;BURM.;;;;;Acanthaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
1109;523;Justicia pectoralis;JACQ.;Justicia;pectoralis;;;;;JACQ.;;;;;Acanthaceae;;;100683.0;100683.0;;M;DUKE;10-DEC-97;15-JUL-05
